             lon,lat,ele
                        138.834844,                        -35.055389,                        416.841
                        138.834648,                        -35.055203,                        418.272
                        138.834452,                        -35.055011,                        419.13
                        138.834271,                        -35.054818,                        420.065
                        138.834075,                        -35.054625,                        420.923
                        138.833887,                        -35.054429,                        422.397
                        138.833706,                        -35.054235,                        423.332
                        138.833525,                        -35.054028,                        424.848
                        138.833344,                        -35.053835,                        425.784
                        138.833148,                        -35.053642,                        426.642
                        138.832959,                        -35.053438,                        427.542
                        138.832772,                        -35.053249,                        427.862
                        138.832576,                        -35.053056,                        428.721
                        138.83238,                        -35.052864,                        429.58
                        138.832168,                        -35.052679,                        430.936
                        138.831965,                        -35.05249,                        431.179
                        138.831755,                        -35.052313,                        431.38
                        138.831529,                        -35.052143,                        432.078
                        138.831303,                        -35.051966,                        432.202
                        138.83107,                        -35.051801,                        432.284
                        138.830837,                        -35.051635,                        432.366
                        138.830604,                        -35.051477,                        433.023
                        138.830356,                        -35.051326,                        432.448
                        138.830116,                        -35.051179,                        433.063
                        138.829862,                        -35.05104,                        432.446
                        138.829599,                        -35.050897,                        432.368
                        138.829337,                        -35.050769,                        431.709
                        138.829075,                        -35.050641,                        431.05
                        138.828797,                        -35.050521,                        430.889
                        138.828528,                        -35.050405,                        430.189
                        138.828259,                        -35.050295,                        430.063
                        138.827983,                        -35.05019,                        429.321
                        138.827715,                        -35.050088,                        428.04
                        138.827447,                        -35.049993,                        427.334
                        138.827178,                        -35.049899,                        426.628
                        138.826903,                        -35.049815,                        425.88
                        138.826628,                        -35.049725,                        424.557
                        138.826353,                        -35.049641,                        423.81
                        138.826077,                        -35.049551,                        422.488
                        138.825795,                        -35.049464,                        420.55
                        138.825519,                        -35.04938,                        419.802
                        138.825244,                        -35.04929,                        418.481
                        138.824977,                        -35.049202,                        416.62
                        138.824702,                        -35.049112,                        415.299
                        138.824427,                        -35.049021,                        413.977
                        138.824159,                        -35.048934,                        412.117
                        138.823883,                        -35.048835,                        411.951
                        138.823608,                        -35.048737,                        410.056
                        138.82334,                        -35.048635,                        408.777
                        138.823072,                        -35.048533,                        407.498
                        138.822804,                        -35.048424,                        405.645
                        138.822534,                        -35.048307,                        404.948
                        138.822274,                        -35.048187,                        403.137
                        138.822013,                        -35.048066,                        401.326
                        138.821759,                        -35.047941,                        400.131
                        138.821514,                        -35.04782,                        398.398
                        138.821267,                        -35.047684,                        397.246
                        138.821021,                        -35.047549,                        396.093
                        138.820782,                        -35.047401,                        394.983
                        138.820551,                        -35.047258,                        393.334
                        138.820312,                        -35.047103,                        391.65
                        138.82008,                        -35.046945,                        390.581
                        138.819856,                        -35.04679,                        388.975
                        138.819624,                        -35.046624,                        387.332
                        138.819399,                        -35.046454,                        386.307
                        138.819182,                        -35.046288,                        384.742
                        138.818973,                        -35.046118,                        383.793
